h,mu,rho,cash,degree,lower,upper,gap,beta,floor
0.02,0.1,0.05,0.3,4096,0.0054758135630926874,0.00550051655475889,2.4702991666202857e-05,0.0011713489622875344,0.005475115548644938
1.0,0.1,0.2,0.3,512,0.07,0.07000000000100001,1.0000056338554941e-12,0.06999999999999998,0.020415945787922968
1.0,0.1,0.2,0.3,1024,0.07,0.070000000001,9.999917560676863e-13,0.06999999999999998,0.020415945787922968
1.0,0.1,0.2,0.3,2048,0.07,0.07000000000100001,1.0000056338554941e-12,0.06999999999999998,0.020415945787922968
1.0,0.1,0.2,0.3,4096,0.07,0.07000000000100011,1.0001027783701488e-12,0.06999999999999998,0.020415945787922968
0.5,0.1,0.2,0.3,512,0.04840000000000001,0.048400000001000025,1.000012572749398e-12,0.048399999999999985,0.020415945787922968
0.5,0.1,0.2,0.3,1024,0.04840000000000001,0.048400000001000025,1.000012572749398e-12,0.048399999999999985,0.020415945787922968
0.5,0.1,0.2,0.3,2048,0.04840000000000001,0.048400000001000226,1.0002138006726113e-12,0.048399999999999985,0.020415945787922968
0.5,0.1,0.2,0.3,4096,0.04840000000000001,0.048400000001000115,1.0001027783701488e-12,0.048399999999999985,0.020415945787922968
0.2,0.1,0.2,0.3,512,0.027025331200000016,0.02703819593088877,1.2864730888753617e-05,0.025878399999999982,0.020415945787922968
0.2,0.1,0.2,0.3,1024,0.027025331200000016,0.027031824305997383,6.49310599736691e-06,0.025878399999999982,0.020415945787922968
0.2,0.1,0.2,0.3,2048,0.027025331200000016,0.02702859831506141,3.2671150613922118e-06,0.025878399999999982,0.020415945787922968
0.2,0.1,0.2,0.3,4096,0.027025331200000016,0.02702698593448763,1.6547344876133296e-06,0.025878399999999982,0.020415945787922968
0.1,0.1,0.2,0.3,512,0.02103984137192761,0.021133553024615052,9.371165268744208e-05,0.01827396176344615,0.020415945787922968
0.1,0.1,0.2,0.3,1024,0.02103984137192761,0.021086443992115192,4.66026201875816e-05,0.01827396176344615,0.020415945787922968
0.1,0.1,0.2,0.3,2048,0.02103984137192761,0.02106311705988527,2.3275687957659275e-05,0.01827396176344615,0.020415945787922968
0.1,0.1,0.2,0.3,4096,0.02103984137192761,0.021051515695931416,1.1674324003806136e-05,0.01827396176344615,0.020415945787922968
0.05,0.1,0.2,0.3,512,0.020470603694229893,0.020606524314951438,0.0001359206207215448,0.015523169521743305,0.020415945787922968
0.05,0.1,0.2,0.3,1024,0.020470603694229893,0.02053847565460189,6.78719603719978e-05,0.015523169521743305,0.020415945787922968
0.05,0.1,0.2,0.3,2048,0.020470603694229893,0.02050453800258406,3.393430835416794e-05,0.015523169521743305,0.020415945787922968
0.05,0.1,0.2,0.3,4096,0.020470603694229893,0.02048758458990041,1.6980895670516694e-05,0.015523169521743305,0.020415945787922968
0.02,0.1,0.2,0.3,512,0.02041633985702893,0.02056158473912712,0.00014524488209819233,0.013755824559257068,0.020415945787922968
0.02,0.1,0.2,0.3,1024,0.02041633985702893,0.020488967804014102,7.262794698517303e-05,0.013755824559257068,0.020415945787922968
0.02,0.1,0.2,0.3,2048,0.02041633985702893,0.020452768927613232,3.642907058430331e-05,0.013755824559257068,0.020415945787922968
0.02,0.1,0.2,0.3,4096,0.02041633985702893,0.020434608775455065,1.8268918426135594e-05,0.013755824559257068,0.020415945787922968
