mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.1,1.0,0.5,0.2,0.08000000000000002,0.08000000000000002,0.0,0.08000000000000002,0.08,0.0
0.1,1.0,0.5,0.3,0.06999999999999999,0.06999999999999999,0.0,0.06999999999999999,0.07,0.0
0.1,1.0,0.2,0.1,0.09000000000000001,0.09000000000000001,0.0,0.09000000000000001,0.09,0.0
0.1,1.0,0.2,0.2,0.08000000000000002,0.08000000000000002,0.0,0.08000000000000002,0.08,0.0
0.1,1.0,0.2,0.3,0.06999999999999999,0.06999999999999999,0.0,0.06999999999999999,0.07,0.0
0.1,1.0,0.1,0.1,0.09000000000000001,0.09000000000000001,0.0,0.09000000000000001,0.09,0.0
0.1,1.0,0.1,0.2,0.08000000000000002,0.08000000000000002,0.0,0.08000000000000002,0.08,0.0
0.1,1.0,0.1,0.3,0.06999999999999999,0.06999999999999999,0.0,0.06999999999999999,0.07,0.0
0.1,1.0,0.05,0.1,0.09000000000000001,0.09000000000000001,0.0,0.09000000000000001,0.09,0.0
0.1,1.0,0.05,0.2,0.08000000000000002,0.08000000000000002,0.0,0.08000000000000002,0.08,0.0
0.1,1.0,0.05,0.3,0.06999999999999999,0.06999999999999999,0.0,0.06999999999999999,0.07,0.0
0.1,1.0,0.02,0.1,0.09000000000000001,0.09000000000000001,0.0,0.09000000000000001,0.09,0.0
0.1,1.0,0.02,0.2,0.08000000000000002,0.08000000000000002,0.0,0.08000000000000002,0.08,0.0
0.1,1.0,0.02,0.3,0.06999999999999999,0.06999999999999999,0.0,0.06999999999999999,0.07,0.0
0.2,0.0,1.0,0.1,0.18000000000000002,0.18000000000000002,0.0,0.18000000000000002,0.1,0.0
0.2,0.0,1.0,0.2,0.16000000000000003,0.16000000000000003,0.0,0.16000000000000003,0.0,0.0
0.2,0.0,1.0,0.3,0.13999999999999999,0.13999999999999999,0.0,0.13999999999999999,0.0,0.0
0.2,0.0,0.5,0.1,0.16399999999999998,0.16399999999999998,0.0,0.16399999999999998,0.1,0.0
0.2,0.0,0.5,0.2,0.128,0.128,0.0,0.128,0.0,0.0
0.2,0.0,0.5,0.3,0.092,0.092,0.0,0.092,0.0,0.0
0.2,0.0,0.2,0.1,0.132768,0.132768,0.0,0.132768,0.1,0.0
0.2,0.0,0.2,0.2,0.06553599999999998,0.06553599999999998,0.0,0.06553599999999998,0.0,0.0
0.2,0.0,0.2,0.3,0.03926400000000001,0.03926400000000001,0.0,0.03926400000000001,0.0,0.0
0.2,0.0,0.1,0.1,0.11073741824,0.11073741824,0.0,0.11073741824,0.1,0.0
0.2,0.0,0.1,0.2,0.04831838207999998,0.04831838207999998,0.0,0.04831838207999998,0.0,0.0
0.2,0.0,0.1,0.3,0.016098334719999996,0.016098334719999996,0.0,0.016098334719999996,0.0,0.0
0.2,0.0,0.05,0.1,0.1040352252661241,0.1040352252661241,0.0,0.1040352252661241,0.1,0.0
0.2,0.0,0.05,0.2,0.03491190431137614,0.03491190431137614,0.0,0.03491190431137614,0.0,0.0
0.2,0.0,0.05,0.3,0.006604706779487021,0.006604706779487021,0.0,0.006604706779487021,0.0,0.0
0.2,0.0,0.02,0.1,0.10051289483882109,0.10051289483882109,0.0,0.10051289483882109,0.1,0.0
0.2,0.0,0.02,0.2,0.02237104082789048,0.02237104082789048,0.0,0.02237104082789048,0.0,0.0
0.2,0.0,0.02,0.3,0.0011082696807814818,0.0011082696807814818,0.0,0.0011082696807814818,0.0,0.0
0.2,0.01,1.0,0.1,0.18000000000001729,0.18000000000100005,9.827694213981886e-13,0.1799999999999995,0.10384615384615385,9.658940314238862e-14
0.2,0.01,1.0,0.2,0.16000000000000272,0.16000000000100004,9.973133430207781e-13,0.15999999999999956,0.01999999999999999,1.887379141862766e-14
0.2,0.01,1.0,0.3,0.1400000000000126,0.140000000001,9.874046025259986e-13,0.1399999999999996,0.0038516480713450263,8.815170815523743e-14
0.2,0.01,0.5,0.1,0.16416000000001577,0.1641600000010009,9.85128645325517e-13,0.16416000000000017,0.10384615384615385,9.658940314238862e-14
0.2,0.01,0.5,0.2,0.12832000000001118,0.12832000000100047,9.892919816678614e-13,0.12832000000000013,0.01999999999999999,8.504308368628699e-14
0.2,0.01,0.5,0.3,0.09248000000000671,0.09248000000100023,9.935247069492448e-13,0.09248000000000006,0.0038516480713450263,6.616929226765933e-14
0.2,0.01,0.2,0.1,0.13380965572589523,0.13385572217993927,4.6066454044035865e-05,0.13357814947769586,0.10384615384615385,1.3408163468398016e-12
0.2,0.01,0.2,0.2,0.06761931145206664,0.06771144435887849,9.213290681185649e-05,0.06715629895539163,0.01999999999999999,1.3408163468398016e-12
0.2,0.01,0.2,0.3,0.0407749797477837,0.04079170389685208,1.672414906837838e-05,0.04068921764332675,0.0038516480713450263,1.3408163468398016e-12
0.2,0.01,0.1,0.1,0.11318339287304434,0.11343196512488163,0.0002485722518372896,0.1119389117899861,0.10384615384615385,1.3408163468398016e-12
0.2,0.01,0.1,0.2,0.050967593377794766,0.05103051471817558,6.292134038081432e-05,0.05067946229218616,0.01999999999999999,4.440892098500626e-16
