mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.05,1.0,0.02,0.2,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.04,0.0
0.05,1.0,0.02,0.3,0.034999999999999996,0.034999999999999996,0.0,0.034999999999999996,0.035,0.0
0.1,0.0,1.0,0.1,0.09000000000000001,0.09000000000000001,0.0,0.09000000000000001,0.0,0.0
0.1,0.0,1.0,0.2,0.08000000000000002,0.08000000000000002,0.0,0.08000000000000002,0.0,0.0
0.1,0.0,1.0,0.3,0.06999999999999999,0.06999999999999999,0.0,0.06999999999999999,0.0,0.0
0.1,0.0,0.5,0.1,0.08100000000000003,0.08100000000000003,0.0,0.08100000000000003,0.0,0.0
0.1,0.0,0.5,0.2,0.06200000000000001,0.06200000000000001,0.0,0.06200000000000001,0.0,0.0
0.1,0.0,0.5,0.3,0.04300000000000001,0.04300000000000001,0.0,0.04300000000000001,0.0,0.0
0.1,0.0,0.2,0.1,0.05904899999999998,0.05904899999999998,0.0,0.05904899999999998,0.0,0.0
0.1,0.0,0.2,0.2,0.01809799999999999,0.01809799999999999,0.0,0.01809799999999999,0.0,0.0
0.1,0.0,0.2,0.3,0.009951999999999999,0.009951999999999999,0.0,0.009951999999999999,0.0,0.0
0.1,0.0,0.1,0.1,0.03486784401000003,0.03486784401000003,0.0,0.03486784401000003,0.0,0.0
0.1,0.0,0.1,0.2,0.008477736920000003,0.008477736920000003,0.0,0.008477736920000003,0.0,0.0
0.1,0.0,0.1,0.3,0.001458654280000002,0.001458654280000002,0.0,0.001458654280000002,0.0,0.0
0.1,0.0,0.05,0.1,0.025666182635786863,0.025666182635786863,0.0,0.025666182635786863,0.0,0.0
0.1,0.0,0.05,0.2,0.0028648567235434004,0.0028648567235434004,0.0,0.0028648567235434004,0.0,0.0
0.1,0.0,0.05,0.3,0.00014347525109477865,0.00014347525109477865,0.0,0.00014347525109477865,0.0,0.0
0.1,0.0,0.02,0.1,0.016643214080569388,0.016643214080569388,0.0,0.016643214080569388,0.0,0.0
0.1,0.0,0.02,0.2,0.000279206570648086,0.000279206570648086,0.0,0.000279206570648086,0.0,0.0
0.1,0.0,0.02,0.3,4.4453917213103403e-07,4.4453917213103403e-07,0.0,4.4453917213103403e-07,0.0,0.0
0.1,0.01,1.0,0.1,0.09000000000000001,0.09000000000100011,1.0001027783701488e-12,0.09000000000000022,0.015,0.0
0.1,0.01,1.0,0.2,0.08,0.08000000000100002,1.000019511643302e-12,0.0800000000000002,0.0022015325445527423,0.0
0.1,0.01,1.0,0.3,0.06999999999999999,0.070000000001,1.0000056338554941e-12,0.07000000000000016,0.0011187420807834136,1.1102230246251565e-16
0.1,0.01,0.5,0.1,0.08109000000000005,0.08109000000100004,9.999917560676863e-13,0.08109000000000027,0.015,0.0
