DEPINS,BKCLASS,SCMTGBK,REPDTE,DEPDOM,ASSET,DEP,NAME,SC,DEPUNINS,SCUST,CHBAL,CERT,LNLSNET,BRO,ID,INSFDIC,INSDIF,cash_ratio,treasury_ratio,size_bin
304656,SM,151184.0,20241231,427508,565711,427508,FIRST MONTANA BANK INC,170894,122984,4694,25756,363,333341,0.0,363_20241231,1,1,0.060246825790394566,0.07122673727743106,<1bn
778574,SM,94202.0,20241231,1278465,1488169,1278465,OHIO VALLEY BANK CO,275169,504903,168029,83077,384,1039429,64524.0,384_20241231,1,1,0.06498183368336247,0.19641210357733688,1-10bn
44359,NM,4423.0,20241231,51178,56474,51178,PEOPLES BANK,19366,6887,3151,1407,389,32341,0.0,389_20241231,1,1,0.027492281839853062,0.08906170620188363,<1bn
24113,NM,0.0,20241231,26687,31037,26687,FIRST SUMMIT BANK,20,2595,0,4146,399,17540,0.0,399_20241231,1,1,0.15535654063776372,0.15535654063776372,<1bn
210153,NM,34944.0,20241231,269215,304231,269215,SOONER STATE BANK,85370,59201,12832,10637,402,189587,0.0,402_20241231,1,1,0.03951117136860873,0.08717567743253533,<1bn
159152,SM,17682.0,20241231,176223,184836,176223,FARMERS STATE BANK,48685,17351,1814,6442,404,116455,8023.0,404_20241231,1,1,0.03655595467107018,0.046849730171430515,<1bn
81221,NM,841.0,20241231,93245,109454,93245,CLEO STATE BANK,39974,12186,23565,10185,406,56780,0.0,406_20241231,1,1,0.10922837685666792,0.3619497023969114,<1bn
149496,NM,44237.0,20241231,240054,291587,240054,STOCK EXCHANGE BANK,119307,91237,38420,22173,414,124851,0.0,414_20241231,1,1,0.09236671748856508,0.25241404017429414,<1bn
123762,NM,330.0,20241231,160760,185184,160760,HIGH PLAINS BANK,9390,37521,0,19653,418,146535,10478.0,418_20241231,1,1,0.1222505598407564,0.1222505598407564,<1bn
25435,NM,1831.0,20241231,31753,34937,31753,BANK OF VICI,7436,6378,0,953,420,18103,0.0,420_20241231,1,1,0.03001291216577961,0.03001291216577961,<1bn
162157,NM,37473.0,20241231,235338,262167,235338,SECURITY STATE BANK,78919,73899,0,10573,421,154126,29603.0,421_20241231,1,1,0.044926871138532665,0.044926871138532665,<1bn
62076,NM,3001.0,20241231,77391,90525,77391,AMERICAN EXCHANGE BANK,5390,15497,0,4910,428,73853,0.0,428_20241231,1,1,0.0634440697238697,0.0634440697238697,<1bn
72430,N,0.0,20241231,121823,136386,121823,SECURITY FIRST NB OF HUGO,11025,49804,11025,11931,432,104874,0.0,432_20241231,1,1,0.09793717114173843,0.18843732300140367,<1bn
376928,NM,59397.0,20241231,510606,581168,510606,PS BANK,120933,134387,12453,48990,444,379388,25000.0,444_20241231,1,1,0.09594481850977074,0.12033348609299538,<1bn
400830,NM,79848.0,20241231,491664,583970,491664,MERCER COUNTY STATE BANK,148165,91293,0,8289,445,386374,0.0,445_20241231,1,1,0.01685907448989554,0.01685907448989554,<1bn
197902,NM,36882.0,20241231,256707,344300,256707,SECURITY BANK MIDWEST,87858,59628,496,4471,485,230900,56138.0,485_20241231,1,1,0.017416743602628678,0.01934890750933944,<1bn
46866,NM,0.0,20241231,68791,76131,68791,WESTERN DAKOTA BANK,5268,22056,3426,42751,492,24780,0.0,492_20241231,1,1,0.6214621098690236,0.6712651364277303,<1bn
191100,NM,20137.0,20241231,263626,328522,263626,BANKSTAR FINANCIAL,35921,73695,0,20405,496,253805,3989.0,496_20241231,1,1,0.07740131853459067,0.07740131853459067,<1bn
100139,NM,17293.0,20241231,138697,160400,138697,FARMERS&MERCHANTS STATE BANK,22405,39056,241,6479,501,121705,19671.0,501_20241231,1,1,0.04671333914936877,0.04845093981845317,<1bn
93500,NM,14027.0,20241231,121799,148393,121799,GREAT PLAINS BANK,36035,28920,0,3736,505,104041,0.0,505_20241231,1,1,0.030673486646031575,0.030673486646031575,<1bn
22941,SM,0.0,20241231,26087,29633,26087,FARMERS STATE BANK,15,3162,0,12752,526,16293,0.0,526_20241231,1,1,0.4888258519569134,0.4888258519569134,<1bn
123670,NM,0.0,20241231,189795,207787,189795,CENTRAL BANK&TRUST,80407,66259,38201,13966,529,109802,0.0,529_20241231,1,1,0.07358465713006138,0.2748597170631471,<1bn
